,topK,alpha,beta,result
0,19.0,0.12530212218934408,0.4783219709680538,0.05272370791901432
1,4.0,0.5466211536511135,0.022527176686367594,0.047363425888739104
2,40.0,0.7086582230148053,0.6717666939662368,0.04459659617248313
3,3.0,0.32154925417251184,0.3339180633955487,0.04492751678241513
4,38.0,0.5904783786912325,0.5060451922461835,0.05085099257664599
5,36.0,0.6468493344055781,0.9411325279075163,0.03312958604859436
6,15.0,0.629372273825943,0.5183870272920589,0.05191925185494394
7,29.0,0.579394836907014,0.9225588481298137,0.03482006759373665
8,41.0,0.819573545189498,0.781695385718058,0.038825079115193846
9,48.0,0.2930292227094697,0.9192612713664268,0.033317152201034435
10,16.0,0.11521306496111715,0.21660775763158485,0.055153405612402444
11,18.0,0.1116846150320077,0.18312198901575372,0.05486369250649972
12,15.0,0.13055509386691566,0.11680389464781134,0.05490994120576186
13,11.0,0.2839531176969732,0.0008343024184472025,0.05404671656323035
14,27.0,0.3984691644950258,0.21353113878907398,0.05439240154999573
15,9.0,0.18588528904552895,0.1787673958362384,0.05497451290385123
16,10.0,0.21016846126243582,0.3498076622566071,0.05471088929405653
17,22.0,0.4118267317321981,0.30725591896748494,0.05462143178422671
18,7.0,0.21409022300888308,0.13322932737694532,0.053971097519181443
19,23.0,0.20998228911523337,0.40802440143567176,0.05351820653483303
20,31.0,0.465433878431757,0.2546803351400053,0.05397347588347367
21,13.0,0.14980052808825897,0.0851594445193713,0.054891306966954385
22,16.0,0.1012530032308337,0.1198173998079296,0.05475707105999018
23,8.0,0.20069852251896117,0.23464001751668667,0.054659218995141465
24,22.0,0.3476192214686735,0.09923916591874057,0.05439294594107184
25,6.0,0.15702162518814272,0.5936122144819298,0.04881038724946681
26,13.0,0.263514745180218,0.40994776155045937,0.054347079877340804
27,2.0,0.25156577528545865,0.1701511989405688,0.03749404851149079
28,19.0,0.8946060297227449,0.05024532294960947,0.053115463116164115
29,19.0,0.1547954325368318,0.29144040526334625,0.05461314655364596
30,10.0,0.3562232588341936,0.4468998220715125,0.053534982258203585
31,14.0,0.14440751198272495,0.060686048819824645,0.05445075402626096
32,12.0,0.1686578938634317,0.09238933975066746,0.05496420182451163
33,5.0,0.18762414142685163,0.16740319869847098,0.051595483071220444
34,17.0,0.10968337149479845,0.01074696359279223,0.053771252447527035
35,9.0,0.5122245566224461,0.2754053676279458,0.05436153859197056
36,24.0,0.2431863239023318,0.3534609059679862,0.05410305099962514
37,12.0,0.3147149790133343,0.13878789564896635,0.055455950953039394
38,4.0,0.3052808473467476,0.2130749354287568,0.04908515191188187
39,12.0,0.34402781257349924,0.16704827443592238,0.0555057872787384
40,20.0,0.42480377785890094,0.5587948920032736,0.05109352326334618
41,12.0,0.34148811696907205,0.156263250767995,0.05544913602458649
42,8.0,0.36689507507347574,0.1568277273226902,0.054510331382447895
43,12.0,0.461540978046398,0.20548981893293689,0.05525239777495568
44,16.0,0.46400278900716185,0.23474286408177708,0.05532612818357004
45,12.0,0.47050221795588854,0.7268926391906289,0.04533930735606045
46,33.0,0.5556136017179392,0.321428624828264,0.053418857394524843
47,15.0,0.6482863474116561,0.2566834074585849,0.054887671371631495
48,17.0,0.5109318989706462,0.05638814033800399,0.05450338928067012
49,49.0,0.3314500471889978,0.2054698916203171,0.052501572933230725
50,26.0,0.3903744889864543,0.3847886740491327,0.0538204183243803
51,14.0,0.44748112640304605,0.14221904602640037,0.05524063982015246
52,11.0,0.4377704733614231,0.1607598365581957,0.055212804479711726
53,14.0,0.4586071318786753,0.1111030993945526,0.05510816872196401
54,21.0,0.3846878381034359,0.1424848246932099,0.05462062969983341
55,6.0,0.4900713847085784,0.03376171146419299,0.05189535442536223
56,11.0,0.6120950760146766,0.22728092470049893,0.05465255801334554
57,17.0,0.5366412017567506,0.8835835726619667,0.038029946863859916
58,44.0,0.3028496656854405,0.2632934296732844,0.052915854542272524
59,14.0,0.4379091063642034,0.13520816917076728,0.05525365389043072
60,9.0,0.4095253208385842,0.1887342518771835,0.054789012760167656
61,14.0,0.3731159047515807,0.07668183244144436,0.054924948773690314
62,12.0,0.45019132884081686,0.12654556419922294,0.055137482173421404
63,16.0,0.34048682434172634,0.1999235311384631,0.05533614921848455
64,18.0,0.33302072383364906,0.1980011822691704,0.05525637584581235
65,18.0,0.33200693484507277,0.23533819428811684,0.055303747909447136
66,19.0,0.33293544494660055,0.29681367331618314,0.054899578810869654
67,24.0,0.27601690287969605,0.24455316103384944,0.054607064545146286
68,17.0,0.22891106720083648,0.3487468203475649,0.05463298670793148
69,21.0,0.3200761387344446,0.473687996221467,0.053109290747670755
70,16.0,0.2893501627063285,0.18970335646827174,0.0553406616404181
71,16.0,0.2841296282046652,0.19755741551887795,0.05536054753247864
72,16.0,0.2782139045899416,0.1769268337315574,0.05529435716338159
73,16.0,0.3059649047388596,0.27970425969487256,0.05543916965189127
74,15.0,0.29737472423415207,0.10975588039582806,0.055159840136434976
75,10.0,0.2490981603189915,0.27348563259292813,0.055124639898688176
76,7.0,0.22893466769753085,0.3042176928472222,0.05373020558348732
77,16.0,0.3522064467741013,0.07811674534321078,0.054882632407509714
78,13.0,0.3092185193496623,0.22811507416860385,0.055353383435159415
79,13.0,0.2826195603012339,0.18149493839854275,0.055453162064328834
80,13.0,0.26632859063223624,0.166775368609377,0.055464676828036276
81,13.0,0.27367999400939735,0.16346656949681454,0.055503563976658815
82,13.0,0.27316137684253944,0.14763775917491748,0.05536290023899488
83,10.0,0.22497895433186801,0.035579474307357445,0.054163798573515075
84,8.0,0.2699644338437161,0.15225199295362812,0.05459099273728546
85,12.0,0.18826808501627185,0.09919182187080086,0.05503328594453473
86,11.0,0.24824204372602957,0.17281835893258396,0.05537468831379588
87,13.0,0.254733308514276,0.06301984740679636,0.0549174834763902
88,11.0,0.7648495875581445,0.16307857862711372,0.05410606746165425
89,4.0,0.241979857543252,0.11337341836876094,0.04880828108071265
90,9.0,0.20709182773076393,0.12931073958447165,0.0547831460538767
91,13.0,0.2677589528240688,0.17161183013544518,0.055513214647152004
92,7.0,0.312051832249747,0.17573882268149482,0.0540053182992134
93,13.0,0.26247111879043444,0.0010770747742879783,0.054167927244361695
94,10.0,0.17203313136767615,0.15370685831168254,0.05497369966390362
95,11.0,0.3568466194933939,0.08644900260073883,0.054836691601561065
96,12.0,0.29310968247251856,0.22081144494821972,0.055329100023380214
97,8.0,0.37286434206188956,0.2798809889715209,0.05440971943333173
98,14.0,0.23294108873752434,0.13525366938003736,0.055414146626825964
99,15.0,0.1940024809364494,0.6601297608310035,0.04767307954892144
100,9.0,0.23738970782291757,0.12912886609125376,0.05473564235469472
101,14.0,0.21811906677534046,0.1800688750361309,0.05534288159583141
102,13.0,0.26324714506320107,0.14709441326248163,0.05537736230029153
103,11.0,0.13394575819108037,0.2545149981661786,0.05521140891980131
104,14.0,0.26064208094371244,0.09797643811748308,0.055052607365520353
105,6.0,0.31809340526992713,0.20995607224077367,0.05307674441641963
106,13.0,0.296383662396399,0.07353648632867746,0.05508904921652126
107,18.0,0.20975452321754262,0.03159012959031263,0.054137537281862574
108,15.0,0.16898181014276087,0.11673163689405487,0.05496875105977567
109,10.0,0.25013823053228357,0.17260444451521878,0.05516799484702396
110,12.0,0.40042415306734347,0.32569235125252083,0.05516275842958148
111,11.0,0.2680143712394621,0.14294771076547433,0.0552145123951581
112,13.0,0.271644122140795,0.18384591911043008,0.055466963716778866
113,15.0,0.3219630307581437,0.19235412850666786,0.05539653423684211
114,15.0,0.32031966006075563,0.214804752252708,0.05545436797980739
115,17.0,0.3417169353022633,0.24694989981138427,0.055300784994081115
116,20.0,0.3218686260331607,0.20753886580232644,0.05512387685873679
117,15.0,0.3627700107576972,0.19040305686538544,0.05543448543441314
118,14.0,0.36346646753405265,0.22516256768848308,0.0554355530210115
119,36.0,0.3665713864443454,0.2786328202174595,0.05359105788572619
120,15.0,0.3800304206715095,0.22097140494614834,0.05548166116028281
121,15.0,0.37911367136049035,0.21994425508527315,0.05549398916393824
122,12.0,0.38452988992066006,0.2214039169011514,0.05531794112187223
123,18.0,0.3527806275662949,0.2423490158626713,0.05530387842943874
124,17.0,0.42320270016476447,0.2568057665206812,0.055254140272621856
125,14.0,0.3011711972251658,0.22391032544254436,0.055458682948420115
126,31.0,0.28434432797963544,0.16983069829745728,0.053640386633680384
127,13.0,0.30013394394907206,0.210998010296639,0.05533162787210716
128,15.0,0.33878026804123784,0.3086111554111519,0.05539270899708706
129,10.0,0.38528358908900345,0.3832156910282978,0.05422601421842207
130,20.0,0.30608676536114854,0.1593977663221532,0.055020674589786066
131,14.0,0.2840551655145106,0.23073571672559567,0.05545747033960887
132,12.0,0.28631774586411646,0.18747502120951803,0.05545385370872906
133,14.0,0.2822897430448789,0.9853313327714559,0.03456804352986625
134,12.0,0.32001828636509044,0.1867527403780116,0.05552427649533291
135,12.0,0.32212122039487684,0.18962730935225186,0.05551695956691238
136,12.0,0.3215119886841876,0.23282594639148288,0.05532726270349761
137,9.0,0.2924851892623328,0.19009888723383028,0.054964484060048675
138,11.0,0.32727456448292097,0.5308492505120626,0.05216530658141873
139,12.0,0.3463351011935235,0.26158095962116773,0.0553173766507971
140,8.0,0.30757835735091105,0.21852586842871533,0.054661735688313506
141,13.0,0.2777464974201179,0.1839890235786838,0.055446824593623344
142,14.0,0.28889588373641517,0.20198405229644661,0.055461961565988094
143,16.0,0.263019224277137,0.20139882192198594,0.05525276590826565
144,14.0,0.31552926340853055,0.11969789773785787,0.055352836812972026
145,15.0,0.2927243281506952,0.23588034788286147,0.055426930892674635
146,10.0,0.3346697884980413,0.16207598609644513,0.05511586047702713
147,12.0,0.2382250413373637,0.20849755670879017,0.0554224474751836
148,13.0,0.27884078850261707,0.8250547831119519,0.041053797217000025
149,17.0,0.4032910549532035,0.13993390087291452,0.055123229836555945
150,11.0,0.3062058153299144,0.16707547779938955,0.05530346344279853
151,14.0,0.2608080245305784,0.18807043033882292,0.055373218011667585
152,13.0,0.29346206945332115,0.24006190453308598,0.05537361068719811
153,15.0,0.2758141368338399,0.17841773057848093,0.05537519366043003
154,13.0,0.3257665103770109,0.15273790865936437,0.055476441476172395
155,44.0,0.34944802127006935,0.14874453070554153,0.052572880355333904
156,11.0,0.3188983329093015,0.11738332156347303,0.05502352594960366
157,14.0,0.374828760227951,0.21247339000804666,0.05546292986814827
158,15.0,0.3672695414287305,0.21578886286525203,0.05551745375799209
159,14.0,0.4181141741911366,0.25309001645523793,0.05523596341156306
160,16.0,0.3762489912629568,0.1319615971195393,0.05522262806130549
161,15.0,0.3854634876755552,0.21415926753513823,0.055427401657088586
162,13.0,0.3553993350561743,0.20110001682373482,0.05541366805352318
163,14.0,0.3456410725346863,0.22580138457036894,0.05547809696051099
164,14.0,0.3961780970335538,0.2713181924766083,0.05525708757021115
165,12.0,0.3385242301777238,0.15709974827491618,0.05547344844080825
166,16.0,0.37216963005182974,0.15650172605285848,0.055251466286126615
167,28.0,0.3379463655742665,0.22202956096164084,0.054223294494151704
168,12.0,0.3570923020049387,0.1709365788447109,0.05552895401947816
169,10.0,0.36214420927343616,0.16884137374920255,0.055061285271630976
170,12.0,0.4113783923934243,0.19101518140702461,0.055376687389223425
171,13.0,0.3453854487489796,0.23175174081262873,0.055382573059957786
172,14.0,0.33330158972242463,0.20266431513865432,0.055454772926448286
173,11.0,0.38492327971129975,0.16437908414517163,0.05529225545684902
174,12.0,0.35718375834228144,0.10076211699689874,0.05508501313677969
175,13.0,0.30609300914953347,0.244632252069325,0.055325105219191366
176,15.0,0.330423426900189,0.17537529399185947,0.05535516943948916
177,17.0,0.37027934120322237,0.1528947963305939,0.05519549440526432
178,13.0,0.24753703944550406,0.29094370478825327,0.05540552003626717
179,9.0,0.345009792154916,0.22337629368651987,0.05480133295493483
180,11.0,0.6607974044257364,0.19500768630968673,0.054501507338568345
181,14.0,0.32198236125818896,0.13557007348185962,0.055337175529529874
182,12.0,0.29999007407923794,0.13933564623592365,0.05544313098941541
183,13.0,0.3116546797171437,0.1778356327311506,0.05546572321908054
184,14.0,0.26856370382003913,0.20330125367381005,0.05544471396264736
185,16.0,0.3982024722841428,0.17626928938328498,0.05532063518836626
186,13.0,0.31348842951716743,0.22497481946240838,0.05532862479674401
187,15.0,0.43274731206608197,0.2572983188785843,0.05523134612741443
188,10.0,0.3475102516537905,0.16265187264570571,0.05507631961289106
189,12.0,0.293481053215142,0.18761052741831313,0.05541392909350646
190,11.0,0.3310228060441429,0.21109346527484393,0.05524204988228465
191,14.0,0.3097767227064363,0.12181634275354364,0.05531873539737671
192,12.0,0.3588283443222991,0.1441840822371479,0.0553727215894772
193,13.0,0.28292126470008977,0.171994482446495,0.0554708681609733
194,13.0,0.2602294266935964,0.6268830110729746,0.049401568069409214
195,2.0,0.8636385448642532,0.172310239914577,0.03537013796297687
196,15.0,0.28063446844404205,0.19257670626900106,0.05539449277030606
197,14.0,0.37340028767660133,0.23256578312514134,0.05542625151938461
198,12.0,0.28751071122765953,0.15605691190471668,0.05549598823936582
199,11.0,0.3017533233923763,0.15686394909630688,0.05534242421808293
200,13.0,0.32779932161863357,0.17907116711867238,0.055432503092317786
201,12.0,0.2850688252360014,0.20364854418878017,0.055351104355304985
202,13.0,0.2690579576174603,0.1555997616122515,0.05546175072600157
203,13.0,0.2581479894947235,0.12788678897111877,0.05532485198809663
204,12.0,0.24336548218694587,0.15390209267479593,0.05541419682682301
205,10.0,0.26879559955262483,0.10524042991214763,0.054778138325308395
206,15.0,0.29810255646329037,0.17820465524947043,0.05538772357962795
207,16.0,0.22832760114589684,0.15511495422123167,0.055269271667209074
208,13.0,0.3416358518049273,0.19733616143415283,0.055456004499702456
209,11.0,0.3136793894901306,0.17030042644540655,0.05540759162280095
210,13.0,0.27324912307718724,0.1432424067811052,0.055386483081930074
211,14.0,0.28727430479493166,0.2152662777714942,0.05544882701571748
212,14.0,0.27385038865209776,0.1915620528559,0.055437772976425055
213,12.0,0.2549112319044189,0.24486304720112023,0.05529444194559837
214,14.0,0.3258368107208461,0.2138000658946743,0.055469307498851324
215,15.0,0.3272337113821389,0.17225772357952385,0.05537732771807105
216,13.0,0.35811524614629553,0.20581490568212463,0.05540223360981048
217,11.0,0.3112413104478825,0.18158710727306948,0.055326202925787625
218,16.0,0.37883142347512605,0.15691044996053016,0.05525093862838262
219,14.0,0.34068257433045634,0.21948704679233436,0.05544097796733106
220,12.0,0.29786317326275086,0.12391970000221564,0.055305359887121854
221,15.0,0.291842724180581,0.23312525632307873,0.055397087552362514
222,14.0,0.32050342972555995,0.2104106747096798,0.0554591302861694
223,13.0,0.32515335489426195,0.20484744106804986,0.0553998463210744
224,14.0,0.34651295016347733,0.18749479260830856,0.055388419686250225
225,12.0,0.31277502003727886,0.1648813307962066,0.0555342272502517
226,11.0,0.3655831565607053,0.1459807645239865,0.055291485723565084
227,12.0,0.3281615534032146,0.17045616391976603,0.05552555380636223
228,12.0,0.3388407122413087,0.15772868518778776,0.05546847975668181
229,10.0,0.33769019904741127,0.17023325235497033,0.055151368608087996
230,12.0,0.3682185948211098,0.13954993689808676,0.05534998322204366
231,12.0,0.3553356012718349,0.1655294546719413,0.05552506296194934
232,12.0,0.3520131447757193,0.17036461509822665,0.055554463426734396
233,11.0,0.3533742270629559,0.16661893385522997,0.05540086593878705
234,12.0,0.3908408391963627,0.127567729806886,0.055214691999591184
235,12.0,0.34989902568351894,0.1817338725671425,0.05558903002896657
236,9.0,0.3526183524481105,0.17417234116095298,0.05492124736059336
237,11.0,0.33324338889311544,0.4558526307107798,0.053574526469006095
238,10.0,0.3421155885966365,0.15148949758549418,0.05511302919720832
239,12.0,0.32575825288350546,0.1847797371087531,0.055506917336443966
240,12.0,0.3240333957438677,0.18807038525404232,0.055488904462041244
241,12.0,0.32052603098541715,0.18498529515992113,0.0555309809837927
242,12.0,0.32937296241321173,0.19054351335290287,0.05548198578692841
243,11.0,0.3282002192176849,0.1917837359827242,0.05527201816481096
244,12.0,0.35358894741491337,0.15890779088032272,0.055464715872478206
245,12.0,0.33704724711510264,0.19449615044777127,0.05550207471008721
246,10.0,0.3216200081704731,0.19095483884100223,0.055212681768608475
247,11.0,0.35622577835160363,0.18698399040207336,0.05534662316892527
248,12.0,0.3311399072470059,0.7302650641146362,0.04535097829753583
249,12.0,0.31876311988109857,0.17804320541060364,0.05553889027217549
250,10.0,0.3117487294212777,0.13919896978177754,0.0549432628480736
251,12.0,0.36495756970092413,0.1820703747556558,0.05549509691053386
252,9.0,0.3710535316522639,0.18968637788242387,0.05486672681741607
253,11.0,0.3482083153925882,0.167596921991447,0.055409220333807956
254,12.0,0.3662417047106548,0.19622032905282835,0.05544482774930673
255,12.0,0.38377215142837995,0.130761162804785,0.055265822369652086
256,11.0,0.34770125143919123,0.181271912611628,0.05537338869165658
257,10.0,0.3371535636543804,0.11214749144709893,0.054824948148979064
258,12.0,0.3613648527602206,0.15132939897059927,0.055410570155943605
259,11.0,0.3193026688834161,0.1990916261125391,0.05525535845921061
260,12.0,0.33641060526719274,0.16377045307416474,0.055466669210130916
261,13.0,0.3885961212869674,0.18315848357845357,0.055503377678892886
262,13.0,0.3808506389006517,0.2159962498133493,0.05536636961655028
263,13.0,0.40496171430192546,0.18031307311902334,0.05544839529574495
264,10.0,0.3965985699381672,0.20085088925083888,0.055095000705029054
265,12.0,0.3596156342694804,0.1780409829711044,0.05553818635666505
266,11.0,0.37240863357457915,0.234507774155863,0.05519676279184987
267,12.0,0.3582753802732945,0.1830706401280005,0.05558498725589197
268,9.0,0.38122906470146,0.1807909281695416,0.05485708507136651
269,11.0,0.3629745616554686,0.1995074966873519,0.05528273642190281
270,12.0,0.4111623375392447,0.17729041434403012,0.055441420842858115
271,10.0,0.5468304263433131,0.14039018815784163,0.054551526615366955
272,12.0,0.3866209608208315,0.16541232980338766,0.05542453133282797
273,13.0,0.3564936562284951,0.1921427198995875,0.05544866749128305
274,11.0,0.31172951388165454,0.2111293123379312,0.055230103398604825
275,9.0,0.36365738317150037,0.17133709974480382,0.05489450414897168
276,12.0,0.39579807769114245,0.14351397070800045,0.055294946176677254
277,13.0,0.3501290758833898,0.19014171706063848,0.055454836513110485
278,11.0,0.30788142118434403,0.1671992670462648,0.05529341228788625
279,10.0,0.3736450001836061,0.21057551760208434,0.05511506173930079
280,13.0,0.32664896074208055,0.12212887665560682,0.05535487939506355
281,12.0,0.4937282325053647,0.1816800414204178,0.055188185285731974
282,8.0,0.3494312188581722,0.14904153679466176,0.05439270051886529
283,12.0,0.3398992799745526,0.22397342490094654,0.05535459492841492
284,11.0,0.7386781049602709,0.18961043972129213,0.05425318357223881
285,13.0,0.575071122466543,0.15995813144370566,0.05505514971646841
286,11.0,0.31060888996100505,0.2081807171363822,0.05523692613594587
287,13.0,0.36511729818834265,0.24859496473625148,0.05534639559560642
288,25.0,0.32819083123241793,0.17468998846873654,0.05446396220319383
289,10.0,0.3915746622291407,0.13701950336783264,0.05484660665870409
290,12.0,0.30199767068151406,0.19962755748995545,0.055409538267120764
291,12.0,0.3518310521428514,0.08826287004306681,0.05504733413474663
292,13.0,0.3763028031114257,0.155691938418349,0.055470468792110234
293,15.0,0.32208904224149976,0.17998460191881777,0.05535529103503709
294,34.0,0.42004777855808584,0.22929539889058903,0.053689272506106854
295,11.0,0.33855126831223437,0.42697999776020273,0.0540396963725688
296,14.0,0.3596158770391826,0.20163856385954393,0.05549763926148242
297,14.0,0.35969554696939554,0.16501812083151052,0.055468339196690794
298,10.0,0.32011867736318506,0.19678543071053398,0.055199402196124944
299,13.0,0.3381390676689048,0.11452356481427528,0.05529931469195302
